
// ID,Sprite_Name,kROName,iROName,LV,HP,SP,EXP,JEXP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,aDelay,aMotion,dMotion,MEXP,ExpPer,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper
//Ñ Agressivo -> 0x81      Agressivo -> 0x85


2510,CATERPIE,Caterpie,Caterpie,10,250,10,12,1,1,30,50,1,1,10,10,10,10,10,2,10,10,0,0,93,0x81,140,1564,864,576,0,0,0,0,0,0,0,0,                              19017,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2513,WEEDLE,Weedle,Weedle,10,250,10,12,1,1,30,50,1,1,10,10,10,10,10,2,10,10,0,0,93,0x85,140,1564,864,576,0,0,0,0,0,0,0,0,                              19017,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2516,PIDGEY,Pidgey,Pidgey,10,250,10,12,1,1,30,50,1,1,10,10,10,10,10,2,10,10,0,0,84,0x81,140,1564,864,576,0,0,0,0,0,0,0,0,                              19049,500,19172,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2519,RATATA,Rattata,Rattata,10,250,10,12,1,1,30,50,1,1,10,10,10,10,10,2,10,10,0,0,80,0x85,140,1564,864,576,0,0,0,0,0,0,0,0,                              19008,5000,19131,500,19137,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2541,ZUBAT,Zubat,Zubat,10,250,10,12,1,1,30,50,1,1,10,10,10,10,10,2,10,10,0,0,85,0x85,140,1564,864,576,0,0,0,0,0,0,0,0,                              19013,5000,19180,500,19210,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2546,PARAS,Paras,Paras,10,250,10,12,1,1,30,50,1,1,10,10,10,10,10,2,10,10,0,0,85,0x81,140,1564,864,576,0,0,0,0,0,0,0,0,                              19017,10000,19109,1000,19125,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2560,POLIWAG,Poliwag,Poliwag,10,250,10,12,1,1,30,50,1,1,10,10,10,10,10,2,10,10,0,0,81,0x81,140,1564,864,576,0,0,0,0,0,0,0,0,                              19152,500,19190,5000,19191,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2590,SHELLDER,Shellder,Shellder,10,250,10,12,1,1,30,50,1,1,10,10,10,10,10,2,10,10,0,0,81,0x81,140,1564,864,576,0,0,0,0,0,0,0,0,                              19098,250,19155,2000,19169,250,19190,2000,0,0,0,0,0,0,0,0,0,0,0,0
2629,MAGIKARP,Magikarp,Magikarp,10,250,10,12,1,1,30,50,1,1,10,10,10,10,10,2,10,10,0,0,81,0x81,140,1564,864,576,0,0,0,0,0,0,0,0,                              19100,100,19190,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2521,SPEAROW,Spearow,Spearow,15,450,100,0,1,1,50,80,1,1,10,10,10,10,10,2,10,10,0,0,84,0x85,140,1564,864,576,0,0,0,0,0,0,0,0,                              19007,100,19049,500,19133,500,19172,5000,0,0,0,0,0,0,0,0,0,0,0,0
