//CLass,Skill-ID,MaxLV,Prerequisite Skill-ID-1,Prerequisite Skill-ID-1-Lv,PrereqSkill-ID-2,PrereqSkill-ID-2-Lv,PrereqSkill-ID-3,PrereqSkill-ID-3-Lv,PrereqSkill-ID-4,PrereqSkill-ID-4-Lv,PrereqSkill-ID-5,PrereqSkill-ID-5-Lv//CLASS_SKILLNAME#Skill Name#
//

//Bulbasaur
2501,8040,10,5,8,0,0,0,0,0,0,0,0 //NORMAL_TACKLE#Tackle#
2501,8005,10,7,6,0,0,0,0,0,0,0,0 //LEAF_LEAVESDANCE#Leaves Dance#
2501,8043,10,0,0,0,0,0,0,0,0,0,0 //POISON_POISONATTACK#Poison Attack#

//Ivysaur
2502,8040,10,0,0,0,0,0,0,0,0,0,0 //NORMAL_TACKLE#Tackle#
2502,8005,10,0,0,0,0,0,0,0,0,0,0 //LEAF_LEAVESDANCE#Leaves Dance#
2502,8043,10,0,0,0,0,0,0,0,0,0,0 //POISON_POISONATTACK#Poison Attack#

//Venusaur
2503,8040,10,0,0,0,0,0,0,0,0,0,0 //NORMAL_TACKLE#Tackle#
2503,8005,10,0,0,0,0,0,0,0,0,0,0 //LEAF_LEAVESDANCE#Leaves Dance#
2503,8043,10,0,0,0,0,0,0,0,0,0,0 //POISON_POISONATTACK#Poison Attack#
2503,8041,10,0,0,0,0,0,0,0,0,0,0 //BUG_ABSORV#Absorv#
2503,8007,10,0,0,0,0,0,0,0,0,0,0 //LEAF_LEAFSTORM#Leaf Storm#

//Charmander
2504,8040,10,0,0,0,0,0,0,0,0,0,0 //NORMAL_TACKLE#Tackle#
2504,8001,10,0,0,0,0,0,0,0,0,0,0 //FIRE_EMBER#Ember#
2504,8039,10,0,0,0,0,0,0,0,0,0,0 //FIRE_FLAMETHROW#Flame Throw#
2504,8033,10,0,0,0,0,0,0,0,0,0,0 //FIGHT_RAGE#Rage#

//Charmeleon
2505,8040,10,0,0,0,0,0,0,0,0,0,0 //NORMAL_TACKLE#Tackle#
2505,8001,10,0,0,0,0,0,0,0,0,0,0 //FIRE_EMBER#Ember#
2505,8039,10,0,0,0,0,0,0,0,0,0,0 //FIRE_FLAMETHROW#Flame Throw#
2505,8033,10,0,0,0,0,0,0,0,0,0,0 //FIGHT_RAGE#Rage#

//Charizard
2506,8040,10,0,0,0,0,0,0,0,0,0,0 //NORMAL_TACKLE#Tackle#
2506,8001,10,0,0,0,0,0,0,0,0,0,0 //FIRE_EMBER#Ember#
2506,8039,10,0,0,0,0,0,0,0,0,0,0 //FIRE_FLAMETHROW#Flame Throw#
2506,8033,10,0,0,0,0,0,0,0,0,0,0 //FIGHT_RAGE#Rage#
2506,8021,10,0,0,0,0,0,0,0,0,0,0 //FLY_WINGATTACK#Wing Attack#
2506,8004,10,0,0,0,0,0,0,0,0,0,0 //FIRE_MAGMASTORM#Magma Storm#

//Squirtle
2507,8040,10,0,0,0,0,0,0,0,0,0,0 //NORMAL_TACKLE#Tackle#
2507,8008,10,0,0,0,0,0,0,0,0,0,0 //WATER_WATERGUN#Water Gun#
2507,8014,10,0,0,0,0,0,0,0,0,0,0 //STONE_HARDEN#Harden#
2507,8009,10,0,0,0,0,0,0,0,0,0,0 //WATER_WATERTORNADO#Water Tornado#

//Wartortle
2508,8040,10,0,0,0,0,0,0,0,0,0,0 //NORMAL_TACKLE#Tackle#
2508,8008,10,0,0,0,0,0,0,0,0,0,0 //WATER_WATERGUN#Water Gun#
2508,8014,10,0,0,0,0,0,0,0,0,0,0 //STONE_HARDEN#Harden#
2508,8009,10,0,0,0,0,0,0,0,0,0,0 //WATER_WATERTORNADO#Water Tornado#

//Blastoise
2509,8040,10,0,0,0,0,0,0,0,0,0,0 //NORMAL_TACKLE#Tackle#
2509,8008,10,0,0,0,0,0,0,0,0,0,0 //WATER_WATERGUN#Water Gun#
2509,8014,10,0,0,0,0,0,0,0,0,0,0 //STONE_HARDEN#Harden#
2509,8009,10,0,0,0,0,0,0,0,0,0,0 //WATER_WATERTORNADO#Water Tornado#
2509,8033,10,0,0,0,0,0,0,0,0,0,0 //FIGHT_RAGE#Rage#
2509,8025,10,0,0,0,0,0,0,0,0,0,0 //WATER_HYDROPUMP#Hydropump#

//Caterpie
2510,8040,10,0,0,0,0,0,0,0,0,0,0 //NORMAL_TACKLE#Tackle#
2510,8006,10,0,0,0,0,0,0,0,0,0,0 //NORMAL_HEADBUTT#Headbutt#

//Metapod
2511,8040,10,0,0,0,0,0,0,0,0,0,0 //NORMAL_TACKLE#Tackle#
2511,8006,10,0,0,0,0,0,0,0,0,0,0 //NORMAL_HEADBUTT#Headbutt#
2511,8014,10,0,0,0,0,0,0,0,0,0,0 //STONE_HARDEN#Harden#

//Butterfree
2512,8040,10,0,0,0,0,0,0,0,0,0,0 //NORMAL_TACKLE#Tackle#
2512,8006,10,0,0,0,0,0,0,0,0,0,0 //NORMAL_HEADBUTT#Headbutt#
2512,8014,10,0,0,0,0,0,0,0,0,0,0 //STONE_HARDEN#Harden#
2512,8020,10,0,0,0,0,0,0,0,0,0,0 //FLY_GUST#Gust#
2512,8038,10,0,0,0,0,0,0,0,0,0,0 //NORMAL_SLEEPPOWER#Sleep Power#
2512,8026,10,0,0,0,0,0,0,0,0,0,0 //PSY_CONFUSION#Confusion#

//Weedle
2513,8040,10,0,0,0,0,0,0,0,0,0,0 //NORMAL_TACKLE#Tackle#
2513,8006,10,0,0,0,0,0,0,0,0,0,0 //NORMAL_HEADBUTT#Headbutt#

//Kakuna
2514,8040,10,0,0,0,0,0,0,0,0,0,0 //NORMAL_TACKLE#Tackle#
2514,8006,10,0,0,0,0,0,0,0,0,0,0 //NORMAL_HEADBUTT#Headbutt#
2514,8014,10,0,0,0,0,0,0,0,0,0,0 //STONE_HARDEN#Harden#

//Beedril
2515,8040,10,0,0,0,0,0,0,0,0,0,0 //NORMAL_TACKLE#Tackle#
